종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
60310,3S,KOSDAQ,벤처기업부,,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",3,,"53,059,040",500,"26,529,520,000",원(KRW),김세완,02-896-9474,서울특별시 금천구 가산디지털1로 75-24 1310호
95570,AJ네트웍스,KOSPI,,,147603,산업용 기계 및 장비 임대업,12,,"45,252,759","1,000","46,822,295,000",원(KRW),곽정호,02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
6840,AK홀딩스,KOSPI,,,116409,기타 금융업,12,,"13,247,561","5,000","66,237,805,000",원(KRW),"고준, 채형석 (각자 대표이사)",02-768-2923,서울특별시 마포구 양화로 188 - 
54620,APS,KOSDAQ,중견기업부,,116409,기타 금융업,12,,"19,894,221",500,"10,197,110,500",원(KRW),정기로,031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)
265520,AP시스템,KOSDAQ,우량기업부,,32902,특수 목적용 기계 제조업,12,,"15,281,421",500,"7,640,710,500",원(KRW),Yoo Ho Sun,031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp
211270,AP위성,KOSDAQ,우량기업부,,32604,통신 및 방송 장비 제조업,12,,"15,082,304",500,"7,541,152,000",원(KRW),이성희,02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp
109960,AP헬스케어,KOSDAQ,투자주의환기종목(소속부없음),,74607,기타 전문 도매업,12,,"200,789,269",500,"100,394,634,500",원(KRW),김정출,031-8022-0513,경기도 성남시 중원구 둔촌대로 545 한라시그마밸리 B1(지하1층) 
139050,BF랩스,KOSDAQ,관리종목(소속부없음),,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,,"8,644,551",500,"4,322,275,500",원(KRW),"한상우, 조영중 (공동대표이사)",031-470-4803,경기도 안양시 만안구 예술공원로 153-323층(석수동 825-1 3층) 
27410,BGF,KOSPI,,,116409,기타 금융업,12,,"95,716,791","1,000","95,716,791,000",,홍정국,1577-3663,서울특별시 강남구 테헤란로 405 
282330,BGF리테일,KOSPI,,,74701,종합 소매업,12,,"17,283,906","1,000","17,283,906,000",원(KRW),민승배,02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,,32002,합성고무 및 플라스틱 물질 제조업,12,,"62,766,899",500,"31,383,449,500",원(KRW),홍정혁,031-499-2195,경기도 화성시  장안면 상두원길 142 
138930,BNK금융지주,KOSPI,,,116409,기타 금융업,12,,"318,383,519","5,000","1,629,676,230,000",원(KRW),빈대인,051-620-3023,부산광역시 남구 문현금융로 30(문현동) 
1460,BYC,KOSPI,,,31401,봉제의복 제조업,12,,"6,246,150",500,"4,200,000,000",원(KRW),김 대 환,02-840-3172,서울특별시 영등포구 디지털로38길 27 (주)비와이씨 
13720,CBI,KOSDAQ,중견기업부,,33003,자동차 신품 부품 제조업,12,,"51,128,143","1,000","51,128,143,000",원(KRW),오경원,032 -816 -3550,인천광역시 남동구  남동대로 208 
83790,CG인바이츠,KOSDAQ,벤처기업부,,137001,자연과학 및 공학 연구개발업,12,,"76,894,182",500,"38,447,091,000",원(KRW),"오수연, 이호영(공동대표이사)",02-2107-2776,서울특별시 강서구 마곡중앙8로 38 마곡동
1040,CJ,KOSPI,,,116409,기타 금융업,12,,"29,176,998","5,000","179,047,370,000",원(KRW),"손경식, 김홍기",02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
79160,CJ CGV,KOSPI,,,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,,"165,580,269",500,"82,790,134,500",원(KRW),정종민,02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) 
35760,CJ ENM,KOSDAQ,중견기업부,,106002,텔레비전 방송업,12,,"21,929,154","5,000","110,577,370,000",원(KRW),윤상현,02-2107-0114,서울특별시 서초구  과천대로 870-13 
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,기술성장기업,137001,자연과학 및 공학 연구개발업,12,,"13,065,462",500,"6,532,731,000",원(KRW),천종식,02-6078-3456,서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층 
120,CJ대한통운,KOSPI,,,84903,도로 화물 운송업,12,,"22,812,344","5,000","114,061,720,000",원(KRW),"신영수, 민영학 (각자 대표)",02-3782-0114,서울특별시 종로구 종로5길 7(청진동) Tower 8 
11150,CJ씨푸드,KOSPI,,,31008,기타 식품 제조업,12,,"35,930,773",500,"18,065,386,500",원(KRW),임항순,031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)
97950,CJ제일제당,KOSPI,,,31008,기타 식품 제조업,12,,"15,054,186","5,000","81,908,095,000",원(KRW),"손경식,강신호(각자 대표이사)",726-8114,서울특별시 중구  동호로 330 
51500,CJ프레시웨이,KOSDAQ,우량기업부,,74603,음·식료품 및 담배 도매업,12,,"11,871,586","1,000","11,871,586,000",원(KRW),이건일,02-2149-6607,경기도 용인시 기흥구  기곡로 32  
58820,CMG제약,KOSDAQ,중견기업부,,32102,의약품 제조업,12,,"143,056,533",500,"71,528,266,500",원(KRW),이주형,031-881-7600,서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동) 
23460,CNH,KOSDAQ,관리종목(소속부없음),,116409,기타 금융업,12,,"37,200,000","2,500","93,000,000,000",원(KRW),김양수(단독대표이사),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
56730,CNT85,KOSDAQ,벤처기업부,,64101,건물 건설업,12,,"74,111,186",500,"37,055,593,000",원(KRW),김윤호,02-3467-1900,"경기도 안양시 동안구 벌말로 126 10층 1004-2호 (관양동, 평촌오비즈타워)"
480,CR홀딩스,KOSPI,,,32302,"내화, 비내화 요업제품 제조업",12,,"46,890,490",500,"23,445,245,000",원(KRW),강문수,02-6966-3090,전라남도 광양시 산업로 55 본관 3층
65770,CS,KOSDAQ,벤처기업부,,32604,통신 및 방송 장비 제조업,12,,"19,411,130",500,"9,705,565,000",원(KRW),최규훈,031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 8층(삼평동 판교세븐벤처밸리1)
83660,CSA 코스믹,KOSDAQ,중견기업부,,32004,기타 화학제품 제조업,12,,"61,247,181",200,"12,249,436,200",원(KRW),"오영철,조성아 (공동대표)",02-6203-5370,서울특별시 강남구 언주로 726 두산빌딩 14층 
